Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-20 09:30:00-05:00,134.71499633789062,135.2899932861328,134.22000122070312,134.80799865722656,10479288,0.0,0.0
2023-01-20 09:45:00-05:00,134.80999755859375,135.1999969482422,134.37319946289062,134.6011962890625,3059476,0.0,0.0
2023-01-20 10:00:00-05:00,134.61000061035156,135.02000427246094,134.32000732421875,134.7949981689453,2776643,0.0,0.0
2023-01-20 10:15:00-05:00,134.79150390625,135.1999969482422,134.5850067138672,135.0500030517578,2517991,0.0,0.0
2023-01-20 10:30:00-05:00,135.05999755859375,135.4897003173828,134.9499969482422,135.11849975585938,2476046,0.0,0.0
2023-01-20 10:45:00-05:00,135.1199951171875,135.3300018310547,134.97000122070312,135.00999450683594,1924572,0.0,0.0
2023-01-20 11:00:00-05:00,135.02000427246094,135.52000427246094,135.0,135.4698944091797,2010328,0.0,0.0
2023-01-20 11:15:00-05:00,135.4499969482422,135.57000732421875,135.17999267578125,135.5399932861328,1627450,0.0,0.0
2023-01-20 11:30:00-05:00,135.5399932861328,135.6717987060547,135.0399932861328,135.1300048828125,1875455,0.0,0.0
2023-01-20 11:45:00-05:00,135.13499450683594,135.47999572753906,135.10000610351562,135.30630493164062,1545125,0.0,0.0
2023-01-20 12:00:00-05:00,135.30999755859375,135.61000061035156,135.30499267578125,135.4387969970703,1304962,0.0,0.0
2023-01-20 12:15:00-05:00,135.44000244140625,135.75999450683594,135.44000244140625,135.64500427246094,1161397,0.0,0.0
2023-01-20 12:30:00-05:00,135.64210510253906,135.83900451660156,135.5800018310547,135.66000366210938,1029479,0.0,0.0
2023-01-20 12:45:00-05:00,135.66079711914062,135.9499969482422,135.63499450683594,135.77000427246094,1179846,0.0,0.0
2023-01-20 13:00:00-05:00,135.76890563964844,136.05999755859375,135.4600067138672,135.80499267578125,2073155,0.0,0.0
2023-01-20 13:15:00-05:00,135.80999755859375,135.83999633789062,135.3800048828125,135.69000244140625,1277794,0.0,0.0
2023-01-20 13:30:00-05:00,135.6999969482422,136.27999877929688,135.69500732421875,136.14999389648438,1779055,0.0,0.0
2023-01-20 13:45:00-05:00,136.14500427246094,136.85000610351562,136.14500427246094,136.83009338378906,2287667,0.0,0.0
2023-01-20 14:00:00-05:00,136.83999633789062,136.88999938964844,136.63999938964844,136.64869689941406,1594758,0.0,0.0
2023-01-20 14:15:00-05:00,136.64999389648438,136.99000549316406,136.64999389648438,136.94500732421875,1308882,0.0,0.0
2023-01-20 14:30:00-05:00,136.94500732421875,137.27999877929688,136.94000244140625,137.25,2143570,0.0,0.0
2023-01-20 14:45:00-05:00,137.2449951171875,137.25999450683594,136.88999938964844,137.17689514160156,1540366,0.0,0.0
2023-01-20 15:00:00-05:00,137.1699981689453,137.77000427246094,137.1342010498047,137.72999572753906,2272725,0.0,0.0
2023-01-20 15:15:00-05:00,137.72999572753906,137.88999938964844,137.36000061035156,137.47500610351562,2261236,0.0,0.0
2023-01-20 15:30:00-05:00,137.47999572753906,137.6300048828125,137.26060485839844,137.4600067138672,2322406,0.0,0.0
2023-01-20 15:45:00-05:00,137.4600067138672,138.02000427246094,137.30999755859375,137.83999633789062,7556399,0.0,0.0
